Fold 1 for k=5,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
[191.0, 106.0, 143.0, 125.0, 57.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
[27.0, 21.0, 28.0, 33.0, 30.0]
Iteration 237. I-divergence: 1496.87040921. MSE: 0.772188930536.
Iteration 238. I-divergence: 1496.71263083. MSE: 0.772105989704.
Iteration 239. I-divergence: 1496.55478816. MSE: 0.772023014045.
Iteration 240. I-divergence: 1496.39688125. MSE: 0.771940003595.
Iteration 241. I-divergence: 1496.23891018. MSE: 0.771856958385.
Iteration 242. I-divergence: 1496.08087503. MSE: 0.771773878451.
Iteration 243. I-divergence: 1495.92277585. MSE: 0.771690763826.
Iteration 244. I-divergence: 1495.76461272. MSE: 0.771607614546.
Iteration 245. I-divergence: 1495.6063857. MSE: 0.771524430645.
Iteration 246. I-divergence: 1495.44809488. MSE: 0.771441212158.
Iteration 247. I-divergence: 1495.28974032. MSE: 0.771357959123.
Iteration 248. I-divergence: 1495.13132209. MSE: 0.771274671574.
Iteration 249. I-divergence: 1494.97284027. MSE: 0.771191349549.
Iteration 250. I-divergence: 1494.81429493. MSE: 0.771107993084.
Iteration 251. I-divergence: 1494.65568615. MSE: 0.771024602218.
Iteration 252. I-divergence: 1494.49701401. MSE: 0.770941176988.
Iteration 253. I-divergence: 1494.33827857. MSE: 0.770857717433.
Iteration 254. I-divergence: 1494.17947991. MSE: 0.77077422359.
Iteration 255. I-divergence: 1494.02061812. MSE: 0.7706906955.
Iteration 256. I-divergence: 1493.86169327. MSE: 0.770607133202.
Iteration 257. I-divergence: 1493.70270544. MSE: 0.770523536736.
Iteration 258. I-divergence: 1493.54365471. MSE: 0.770439906143.
Iteration 259. I-divergence: 1493.38454116. MSE: 0.770356241462.
Iteration 260. I-divergence: 1493.22536487. MSE: 0.770272542736.
Iteration 261. I-divergence: 1493.06612593. MSE: 0.770188810007.
Iteration 262. I-divergence: 1492.90682441. MSE: 0.770105043316.
Iteration 263. I-divergence: 1492.7474604. MSE: 0.770021242707.
Iteration 264. I-divergence: 1492.58803399. MSE: 0.769937408221.
Iteration 265. I-divergence: 1492.42854527. MSE: 0.769853539904.
Iteration 266. I-divergence: 1492.2689943. MSE: 0.769769637799.
Iteration 267. I-divergence: 1492.1093812. MSE: 0.76968570195.
Iteration 268. I-divergence: 1491.94970603. MSE: 0.769601732403.
Iteration 269. I-divergence: 1491.78996889. MSE: 0.769517729202.
Iteration 270. I-divergence: 1491.63016987. MSE: 0.769433692395.
Iteration 271. I-divergence: 1491.47030907. MSE: 0.769349622027.
Iteration 272. I-divergence: 1491.31038656. MSE: 0.769265518144.
Iteration 273. I-divergence: 1491.15040245. MSE: 0.769181380796.
Iteration 274. I-divergence: 1490.99035682. MSE: 0.769097210028.
Iteration 275. I-divergence: 1490.83024977. MSE: 0.769013005891.
Iteration 276. I-divergence: 1490.6700814. MSE: 0.768928768432.
Iteration 277. I-divergence: 1490.50985179. MSE: 0.768844497701.
Iteration 278. I-divergence: 1490.34956105. MSE: 0.768760193748.
