Fold 1 for k=10,l=5.
Initialising F using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
Iteration: 9.
Iteration: 10.
Iteration: 11.
Iteration: 12.
Iteration: 13.
Iteration: 14.
Iteration: 15.
Iteration: 16.
Iteration: 17.
Iteration: 18.
[132.0, 4.0, 29.0, 59.0, 10.0, 72.0, 131.0, 34.0, 81.0, 70.0]
Initialising G using KMeans.
Iteration: 1.
Iteration: 2.
Iteration: 3.
Iteration: 4.
Iteration: 5.
Iteration: 6.
Iteration: 7.
Iteration: 8.
[32.0, 2.0, 28.0, 23.0, 54.0]
Iteration 215. I-divergence: 1434.67616932. MSE: 0.739529226844.
Iteration 216. I-divergence: 1434.34616847. MSE: 0.739355212021.
Iteration 217. I-divergence: 1434.01689636. MSE: 0.739181577123.
Iteration 218. I-divergence: 1433.68835629. MSE: 0.739008323958.
Iteration 219. I-divergence: 1433.36055149. MSE: 0.738835454306.
Iteration 220. I-divergence: 1433.03348515. MSE: 0.738662969921.
Iteration 221. I-divergence: 1432.7071604. MSE: 0.738490872524.
Iteration 222. I-divergence: 1432.38158034. MSE: 0.73831916381.
Iteration 223. I-divergence: 1432.05674797. MSE: 0.738147845443.
Iteration 224. I-divergence: 1431.73266627. MSE: 0.73797691906.
Iteration 225. I-divergence: 1431.40933814. MSE: 0.737806386264.
Iteration 226. I-divergence: 1431.08676645. MSE: 0.737636248631.
Iteration 227. I-divergence: 1430.76495399. MSE: 0.737466507703.
Iteration 228. I-divergence: 1430.44390349. MSE: 0.737297164994.
Iteration 229. I-divergence: 1430.12361763. MSE: 0.737128221986.
Iteration 230. I-divergence: 1429.80409903. MSE: 0.736959680127.
Iteration 231. I-divergence: 1429.48535026. MSE: 0.736791540837.
Iteration 232. I-divergence: 1429.1673738. MSE: 0.736623805501.
Iteration 233. I-divergence: 1428.8501721. MSE: 0.736456475473.
Iteration 234. I-divergence: 1428.53374752. MSE: 0.736289552075.
Iteration 235. I-divergence: 1428.2181024. MSE: 0.736123036595.
Iteration 236. I-divergence: 1427.90323897. MSE: 0.735956930289.
Iteration 237. I-divergence: 1427.58915944. MSE: 0.73579123438.
Iteration 238. I-divergence: 1427.27586592. MSE: 0.735625950057.
Iteration 239. I-divergence: 1426.96336049. MSE: 0.735461078477.
Iteration 240. I-divergence: 1426.65164514. MSE: 0.735296620762.
Iteration 241. I-divergence: 1426.34072182. MSE: 0.735132578002.
Iteration 242. I-divergence: 1426.03059239. MSE: 0.734968951251.
Iteration 243. I-divergence: 1425.72125868. MSE: 0.734805741531.
Iteration 244. I-divergence: 1425.41272242. MSE: 0.73464294983.
Iteration 245. I-divergence: 1425.10498531. MSE: 0.734480577102.
Iteration 246. I-divergence: 1424.79804896. MSE: 0.734318624264.
Iteration 247. I-divergence: 1424.49191493. MSE: 0.734157092204.
Iteration 248. I-divergence: 1424.18658471. MSE: 0.733995981771.
Iteration 249. I-divergence: 1423.88205972. MSE: 0.733835293782.
Iteration 250. I-divergence: 1423.57834133. MSE: 0.73367502902.
Iteration 251. I-divergence: 1423.27543083. MSE: 0.733515188232.
Iteration 252. I-divergence: 1422.97332946. MSE: 0.733355772132.
Iteration 253. I-divergence: 1422.67203839. MSE: 0.733196781399.
Iteration 254. I-divergence: 1422.37155872. MSE: 0.733038216679.
Iteration 255. I-divergence: 1422.07189149. MSE: 0.732880078581.
Iteration 256. I-divergence: 1421.77303767. MSE: 0.732722367682.
Iteration 257. I-divergence: 1421.47499818. MSE: 0.732565084523.
Iteration 258. I-divergence: 1421.17777386. MSE: 0.732408229613.
Iteration 259. I-divergence: 1420.8813655. MSE: 0.732251803425.
Iteration 260. I-divergence: 1420.58577382. MSE: 0.732095806397.
Iteration 261. I-divergence: 1420.29099946. MSE: 0.731940238936.
Iteration 262. I-divergence: 1419.99704302. MSE: 0.731785101411.
Iteration 263. I-divergence: 1419.70390504. MSE: 0.731630394161.
Iteration 264. I-divergence: 1419.41158596. MSE: 0.731476117489.
Iteration 265. I-divergence: 1419.1200862. MSE: 0.731322271664.
Iteration 266. I-divergence: 1418.82940609. MSE: 0.731168856923.
Iteration 267. I-divergence: 1418.53954592. MSE: 0.731015873467.
Iteration 268. I-divergence: 1418.25050588. MSE: 0.730863321467.
Iteration 269. I-divergence: 1417.96228613. MSE: 0.730711201057.
Iteration 270. I-divergence: 1417.67488677. MSE: 0.730559512341.
Iteration 271. I-divergence: 1417.38830782. MSE: 0.730408255388.
Iteration 272. I-divergence: 1417.10254925. MSE: 0.730257430236.
Iteration 273. I-divergence: 1416.81761096. MSE: 0.730107036887.
Iteration 274. I-divergence: 1416.5334928. MSE: 0.729957075315.
Iteration 275. I-divergence: 1416.25019455. MSE: 0.729807545457.
Iteration 276. I-divergence: 1415.96771594. MSE: 0.729658447223.
Iteration 277. I-divergence: 1415.68605663. MSE: 0.729509780486.
Iteration 278. I-divergence: 1415.40521623. MSE: 0.729361545091.
Iteration 279. I-divergence: 1415.12519429. MSE: 0.729213740848.
Iteration 280. I-divergence: 1414.84599029. MSE: 0.729066367539.
Iteration 281. I-divergence: 1414.56760367. MSE: 0.728919424913.
Iteration 282. I-divergence: 1414.29003381. MSE: 0.728772912688.
Iteration 283. I-divergence: 1414.01328001. MSE: 0.728626830552.
Iteration 284. I-divergence: 1413.73734153. MSE: 0.728481178161.
Iteration 285. I-divergence: 1413.46221758. MSE: 0.728335955143.
Iteration 286. I-divergence: 1413.18790732. MSE: 0.728191161095.
Iteration 287. I-divergence: 1412.91440982. MSE: 0.728046795582.
Iteration 288. I-divergence: 1412.64172413. MSE: 0.727902858144.
Iteration 289. I-divergence: 1412.36984923. MSE: 0.727759348287.
Iteration 290. I-divergence: 1412.09878405. MSE: 0.72761626549.
Iteration 291. I-divergence: 1411.82852747. MSE: 0.727473609205.
Iteration 292. I-divergence: 1411.5590783. MSE: 0.727331378852.
Iteration 293. I-divergence: 1411.29043533. MSE: 0.727189573825.
Iteration 294. I-divergence: 1411.02259726. MSE: 0.72704819349.
Iteration 295. I-divergence: 1410.75556277. MSE: 0.726907237184.
Iteration 296. I-divergence: 1410.48933048. MSE: 0.726766704216.
Iteration 297. I-divergence: 1410.22389894. MSE: 0.726626593872.
Iteration 298. I-divergence: 1409.95926669. MSE: 0.726486905406.
Iteration 299. I-divergence: 1409.69543217. MSE: 0.726347638048.
Iteration 300. I-divergence: 1409.43239383. MSE: 0.726208791002.
Iteration 301. I-divergence: 1409.17015002. MSE: 0.726070363445.
Iteration 302. I-divergence: 1408.90869907. MSE: 0.725932354529.
Iteration 303. I-divergence: 1408.64803927. MSE: 0.72579476338.
Iteration 304. I-divergence: 1408.38816883. MSE: 0.7256575891.
